Class Name,Objects,Shallow Heap,
com.intellij.ide.plugins.ContainerDescriptor,3900,124800,
com.intellij.psi.impl.java.stubs.impl.PsiModifierListStubImpl,3116,124640,
java.util.logging.Logger,2225,124600,
com.intellij.ui.icons.CachedImageIcon,2188,122528,
com.intellij.platform.recentFiles.backend.BackendRecentFilePresentation,2533,121584,
kotlin.reflect.jvm.internal.impl.storage.LockBasedStorageManager$LockBasedNotNullLazyValue,5065,121560,
com.intellij.openapi.util.ObjectNode,5061,121464,
kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$Property,939,120192,
java.lang.Long,4994,119856,
java.util.logging.LogManager$LogNode,3731,119392,
kotlin.Pair,4867,116808,
java.net.URL,1822,116608,
java.lang.reflect.Constructor,1614,116208,
java.util.concurrent.locks.ReentrantLock,7215,115440,
com.intellij.util.xmlb.TagBinding,2400,115200,
java.awt.Font,1426,114080,
java.util.HashSet,7130,114080,
com.intellij.psi.codeStyle.CommonCodeStyleSettings,296,111296,
sun.nio.fs.UnixPath,3447,110304,
kotlinx.coroutines.debug.internal.DebugCoroutineInfoImpl,2297,110256,
kotlinx.coroutines.CancellableContinuationImpl,2276,109248,
ai.grazie.detector.utils.collections.array.TwoOptimizedFloatArray,4471,107304,
java.lang.invoke.MethodHandle[],436,107272,
jdk.internal.jimage.ImageReader$Resource,3298,105536,
org.languagetool.rules.patterns.PatternToken[],4234,104176,
com.intellij.ide.plugins.ContentModuleDescriptor,1085,104160,
com.fasterxml.jackson.databind.node.ObjectNode,4321,103704,
com.intellij.ui.scale.UserScaleContext,2554,102160,
com.intellij.openapi.vfs.newvfs.impl.VirtualFileImpl,3182,101824,
org.jdom.ImmutableElement,2104,100992,
kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$Annotation$Argument$Value,1147,100936,
com.intellij.openapi.editor.state.TransferableObjectStateProperty,2100,100800,
java.security.AccessControlContext,2459,98360,
io.opentelemetry.sdk.internal.RateLimiter,2440,97600,
com.intellij.openapi.actionSystem.impl.ActionManagerStateActionItemDescriptor,4051,97224,
com.intellij.util.containers.LinkedCustomHashMap,1994,95712,
com.intellij.workspaceModel.ide.impl.VirtualFileUrlBridge,2985,95520,
com.intellij.psi.impl.source.SpineRef,3970,95280,
com.intellij.ide.plugins.cl.PluginClassLoader,661,95184,
com.intellij.util.indexing.impl.ChangeTrackingValueContainer,2973,95136,
java.util.WeakHashMap$Entry[],660,94600,
com.intellij.ide.ui.IJColorUIResource,1686,94416,
java.util.concurrent.locks.ReentrantReadWriteLock$NonfairSync,1942,93216,
java.lang.ref.Finalizer,2327,93080,
jdk.internal.net.http.hpack.QuickHuffman$ImmutableNode,3841,92184,
java.awt.Color,2867,91744,
io.netty.buffer.PoolSubpage,1264,91008,
java.lang.ref.ReferenceQueue,2835,90720,
kotlinx.coroutines.channels.BufferedChannel,1126,90080,
java.util.logging.Logger$ConfigurationData,2226,89040,
com.intellij.openapi.components.ServiceDescriptor,1854,88992,
java.util.regex.Pattern$GroupTail,3708,88992,
java.util.regex.Pattern$GroupHead,3695,88680,
com.intellij.util.xml.dom.XmlElement[],2657,88088,
java.util.ImmutableCollections$Set12,3667,88008,
java.util.regex.Pattern$Branch,2716,86912,
java.lang.ClassLoader[],659,86864,
com.intellij.util.containers.ConcurrentWeakKeySoftValueHashMap$WeakKey,2167,86680,
com.intellij.openapi.actionSystem.impl.ActionManagerImpl$$Lambda+0x000000a0024bea20,2691,86112,
org.jdom.Attribute,2147,85880,
kotlin.reflect.jvm.internal.impl.serialization.deserialization.descriptors.DeserializedSimpleFunctionDescriptor,715,85800,
sun.font.CFont,893,85728,
groovyjarjarantlr4.v4.runtime.atn.BasicState,2113,84520,
kotlin.reflect.jvm.internal.impl.metadata.jvm.JvmProtoBuf$StringTableTypes$Record,1316,84224,
kotlin.reflect.jvm.internal.impl.name.FqNameUnsafe,2627,84064,
java.util.TreeMap$Entry,2091,83640,
com.intellij.psi.impl.compiled.ClsMethodImpl,2059,82360,
com.intellij.internal.statistic.eventLog.validator.rules.impl.EnumValidationRule,3420,82080,
com.intellij.psi.impl.cache.TypeInfo$SimpleTypeInfo,3397,81528,
ai.grazie.rules.tree.NodePattern$$Lambda+0x000000a004aea998,3360,80640,
com.intellij.psi.impl.source.PsiTypeElementImpl,1437,80472,
javax.swing.text.html.parser.ContentModel,2490,79680,
kotlinx.coroutines.NodeList,3318,79632,
java.lang.invoke.MethodTypeForm,2485,79520,
jdk.internal.jimage.ImageLocation,3298,79152,
com.fasterxml.jackson.databind.node.TextNode,4940,79040,
com.intellij.platform.core.nio.fs.MultiRoutingFsPath,3236,77664,
com.intellij.psi.impl.java.stubs.impl.PsiParameterStubImpl,1601,76848,
javax.swing.JPanel,218,76736,
it.unimi.dsi.fastutil.objects.Object2LongOpenHashMap,1046,75312,
com.intellij.openapi.actionSystem.DefaultActionGroup,1160,74240,
