Class Name,Shallow Heap,Retained Heap,
java.lang.String @ 0x7800054d0  ObjectName,24,56,
"java.lang.String @ 0x780005550  MMMM d, y G",24,56,
"java.lang.String @ 0x780005588  EEEE, MMMM d, y G",24,64,
java.lang.String @ 0x7800055c8  QQQQ y,24,48,
java.lang.String @ 0x7800055f8  MMMM y,24,48,
java.lang.String @ 0x780005628  M/y,24,48,
java.lang.String @ 0x780005658  M/d/y,24,48,
java.lang.String @ 0x780005688  M/d/y G,24,48,
java.lang.String @ 0x7800056b8  h\u202fa,24,48,
"java.lang.String @ 0x7800056e8  E, MMM d",24,48,
"java.lang.String @ 0x780005718  E, M/d",24,48,
java.lang.String @ 0x780005748  d E,24,48,
java.lang.String @ 0x780005778  M/d,24,48,
java.lang.String @ 0x7800057a8  MMM y,24,48,
java.lang.String @ 0x7800057d8  QQQ y,24,48,
"java.lang.String @ 0x780005808  MMM d, y",24,48,
java.lang.String @ 0x780005838  h:mm:ss\u202fa v,24,64,
java.lang.String @ 0x780005878  h:mm\u202fa v,24,56,
"java.lang.String @ 0x7800058b0  E, M/d/y",24,48,
java.lang.String @ 0x7800058e0  E h:mm\u202fa,24,56,
java.lang.String @ 0x780005918  E h:mm:ss\u202fa,24,64,
"java.lang.String @ 0x780005958  E, MMM d, y",24,56,
java.lang.String @ 0x780005990  generic.QuarterNarrows,24,64,
java.lang.String @ 0x7800059d0  generic.QuarterAbbreviations,24,72,
java.lang.String @ 0x780005a18  Gregorian Calendar,24,64,
java.lang.String @ 0x780005a58  QQQ y G,24,48,
"java.lang.String @ 0x780005a88  E, M/d/y GGGGG",24,56,
java.lang.String @ 0x780005ac0  QQQQ y G,24,48,
java.lang.String @ 0x780005af0  MMMM y G,24,48,
java.lang.String @ 0x780005b20  Minguo,24,48,
java.lang.String @ 0x780005b50  B.R.O.C.,24,48,
java.lang.String @ 0x780005b80  midnight:00:00;noon:12:00;night1:21:00-06:00;afternoon1:12:00-18:00;morning1:06:00-12:00;evening1:18:00-21:00,24,152,
java.lang.String @ 0x780005c18  one:i = 1 and v = 0,24,64,
java.lang.String @ 0x780005c58  M/d/yy,24,48,
"java.lang.String @ 0x780005c88  MMMM d, y",24,56,
"java.lang.String @ 0x780005cc0  EEEE, MMMM d, y",24,56,
java.lang.String @ 0x780005cf8  {0} Standard Time,24,64,
java.lang.String @ 0x780005d38  {0} Daylight Time,24,64,
java.lang.String @ 0x780005d78  {0} Time,24,48,
java.lang.String @ 0x780005da8  AM/PM,24,48,
java.lang.String @ 0x780005dd8  day of the week,24,56,
java.lang.String @ 0x780005e10  week,24,48,
java.lang.String @ 0x780005e40  buddhist.QuarterNarrows,24,64,
java.lang.String @ 0x780005e80  buddhist.QuarterAbbreviations,24,72,
java.lang.String @ 0x780005ec8  buddhist.DayNarrows,24,64,
java.lang.String @ 0x780005f08  buddhist.MonthNarrows,24,64,
java.lang.String @ 0x780005f48  japanese.narrow.AmPmMarkers,24,72,
java.lang.String @ 0x780005f90  japanese.QuarterAbbreviations,24,72,
java.lang.String @ 0x780005fd8  japanese.DayNarrows,24,64,
java.lang.String @ 0x780006018  japanese.MonthNarrows,24,64,
java.lang.String @ 0x780006058  roc.DayAbbreviations,24,64,
