Class Name,Shallow Heap,Retained Heap,
byte[42] @ 0x7888078a0  jdk.management.heapdump.allowAnyFileSuffix,64,64,
byte[17] @ 0x7888078f8  lambda$dumpHeap$0,40,40,
byte[6] @ 0x788807b30  .hprof,24,24,
byte[5] @ 0x788807bc0  argL1,24,24,
byte[2] @ 0x788807c90  LL,24,24,
byte[121] @ 0x788807e50  (Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/invoke/MemberName;)Ljava/lang/Object;,144,144,
byte[5] @ 0x788808078  argL0,24,24,
byte[13] @ 0x788808678  /jdk.dynalink,32,32,
byte[17] @ 0x7888086b0  jrt:/jdk.dynalink,40,40,
byte[21] @ 0x788808a40  /jdk.management.agent,40,40,
byte[25] @ 0x788808a80  jrt:/jdk.management.agent,48,48,
byte[11] @ 0x7888090e0  /jdk.jshell,32,32,
byte[15] @ 0x788809118  jrt:/jdk.jshell,32,32,
byte[21] @ 0x788809ab8  (I)Ljava/lang/Object;,40,40,
byte[3] @ 0x788809c78  LLJ,24,24,
byte[40] @ 0x788809fe0  (Ljava/lang/Object;Ljava/lang/Object;J)J,56,56,
byte[69] @ 0x78880a2f8  (Ljava/lang/Object;Ljava/lang/Object;JLjava/lang/invoke/MemberName;)J,88,88,
byte[13] @ 0x78880a480  invokeSpecial,32,32,
byte[58] @ 0x78880a5b8  (Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;J)J,80,80,
byte[40] @ 0x78880a890  (Ljava/lang/Object;JLjava/lang/Object;)J,56,56,
byte[58] @ 0x78880ab10  (Ljava/lang/Object;JLjava/lang/Object;Ljava/lang/Object;)J,80,80,
byte[10] @ 0x78880b720  reinvoke_L,32,32,
byte[41] @ 0x78880baf8  (JLjava/lang/Object;JLjava/lang/Object;)J,64,64,
byte[93] @ 0x78880be50  (Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;)I,112,112,
byte[111] @ 0x78880c120  (Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;)I,128,128,
byte[122] @ 0x78880c250  (Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/invoke/MemberName;)I,144,144,
byte[13] @ 0x78880c418  invokeSpecial,32,32,
byte[5] @ 0x78880c568  argL1,24,24,
byte[3] @ 0x78880c638  LLL,24,24,
byte[11] @ 0x78880c6d0  /java.prefs,32,32,
byte[15] @ 0x78880c708  jrt:/java.prefs,32,32,
byte[16] @ 0x78880cad8  /jdk.internal.le,32,32,
byte[20] @ 0x78880cb10  jrt:/jdk.internal.le,40,40,
byte[16] @ 0x78880cd60  /jdk.internal.ed,32,32,
byte[20] @ 0x78880cd98  jrt:/jdk.internal.ed,40,40,
byte[8] @ 0x78880d1d8  /jdk.jdi,24,24,
byte[12] @ 0x78880d208  jrt:/jdk.jdi,32,32,
byte[16] @ 0x78880d5c8  /jdk.unsupported,32,32,
byte[20] @ 0x78880d600  jrt:/jdk.unsupported,40,40,
byte[76] @ 0x78880d8b8  (Ljava/lang/Object;JLjava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;)J,96,96,
byte[22] @ 0x78880e240  (Ljava/lang/Object;J)J,40,40,
byte[5] @ 0x78880e568  argJ2,24,24,
byte[5] @ 0x78880e638  argL1,24,24,
byte[10] @ 0x78880e760  reinvoke_L,32,32,
byte[23] @ 0x78880eec8  (JLjava/lang/Object;J)J,40,40,
byte[5] @ 0x78880f190  argL2,24,24,
byte[5] @ 0x78880f220  argL0,24,24,
byte[4] @ 0x78880f608  LLLL,24,24,
byte[5] @ 0x78880f760  argL3,24,24,
byte[5] @ 0x78880f7f0  argL2,24,24,
byte[5] @ 0x78880f880  argL1,24,24,
byte[5] @ 0x78880f8e0  argL0,24,24,
byte[21] @ 0x788810230  (J)Ljava/lang/Object;,40,40,
byte[50] @ 0x7888105c0  (Ljava/lang/Object;Ljava/lang/invoke/MemberName;)J,72,72,
byte[5] @ 0x788810708  argL0,24,24,
byte[5] @ 0x788810ad0  LLLLL,24,24,
